"RECORD #(ITEM)","CALL #","100|a"
"i160624629","[PB] ROMANCE J","James, Eloisa,"
"i161072999","[PB] ROMANCE H","Howell, Hannah,"
"i16136374x","[PB] ROMANCE A","Anderson, Catherine"
"i161363805","[PB] ROMANCE G","Gibson, Rachel,"
"i161363830","[PB] ROMANCE B","Barnes, Sophie"
"i161363854","[PB] ROMANCE M","Maxwell, Cathy,"
"i161441440","[PB] ROMANCE C","Camp, Candace,"
"i161910981","[PB] ROMANCE F","Frampton, Megan,"
"i161911079","[PB] ROMANCE C","Cole, Alyssa,"
"i162361476","[PB] ROMANCE L","Leigh, Eva,"
"i16236166x","[PB] ROMANCE B","Bell, Lenora,"
"i162956939","[PB] ROMANCE H","Hunter, Madeline,"
"i16295752x","[PB] ROMANCE G","Gracie, Anne,"
"i162980267","[PB] ROMANCE R","Rai, Alisha,"
"i163238650","[PB] ROMANCE H","Harte, Marie,"
"i16323873x","[PB] ROMANCE B","Balogh, Mary,"
"i163238765","[PB] ROMANCE B","Balogh, Mary,"
"i163238844","[PB] ROMANCE M","MacGregor, Janna,"
"i163749619","[PB] ROMANCE A","Ashe, Katharine,"
"i163749644","[PB] ROMANCE S","Sebastian, Cat,"
"i164181933","[PB] ROMANCE S","Sands, Lynsay,"
"i164369867","[PB] ROMANCE S","Shalvis, Jill,"
"i164724606","[PB] ROMANCE B","Barnes, Sophie"
"i164724618","[PB] ROMANCE D","Dare, Tessa,"
"i164785875","[PB] ROMANCE C","Chase, Samantha,"
"i165010034","[PB] ROMANCE B","Byrne, Kerrigan,"
"i165010071","[PB] ROMANCE L","Leigh, Lora,"
"i165222165","[PB] ROMANCE B","Bell, Lenora,"
"i165222244","[PB] ROMANCE S","Shupe, Joanna,"
"i165939552","[PB] ROMANCE M","Mason, Debbie"
"i165939606","[PB] ROMANCE J","Jordan, Sophie,"
"i165939710","[PB] ROMANCE L","London, Julia,"
"i166214802","[PB] ROMANCE B","Burrowes, Grace,"
"i166214991","[PB] ROMANCE C","Crane, Megan,"
"i166215028","[PB] ROMANCE C","Clare, Jessica,"
"i166453869","[PB] ROMANCE K","Krahn, Betina M.,"
"i166859217","[PB] ROMANCE A","Anderson, Catherine"
"i166859448","[PB] ROMANCE L","Leigh, Eva,"
"i16705675x","[PB] ROMANCE S","Schmidt, Anna,"
"i167056761","[PB] ROMANCE D","Drake, Olivia,"
"i167056785","[PB] ROMANCE B","Bouchet, Amanda,"
"i167596780","[PB] ROMANCE C","Chase, Samantha,"
"i167597255","[PB] ROMANCE S","Sands, Lynsay,"
"i168180170","[PB] ROMANCE L","Long, Julie Anne"
"i168180959","[PB] ROMANCE G","Griffin, Laura,"
"i168181010","[PB] ROMANCE A","Ashford, Jane,"
"i168181150","[PB] ROMANCE B","Barnes, Sophie"
"i168181320","[PB] ROMANCE L","London, Stefanie,"
"i168903295","[PB] ROMANCE L","Laurens, Stephanie,"
"i168903489","[PB] ROMANCE C","Carlyle, Christy,"
"i168903593","[PB] ROMANCE C","Chase, Samantha,"
"i168903763","[PB] ROMANCE J","James, Lorelei,"
"i168903829","[PB] ROMANCE B","Bowman, Valerie,"
"i169096452","[PB] ROMANCE C","Cole, Alyssa,"
"i169096476","[PB] ROMANCE F","Faver, June,"
"i169096506","[PB] ROMANCE M","Jenkins, Beverly,"
"i169096518","[PB] ROMANCE S","Shupe, Joanna,"
"i16909652x","[PB] ROMANCE S","Sands, Lynsay,"
"i169258166","[PB] ROMANCE G","Gilmore, Lucy"
"i169258440","[PB] ROMANCE F","Fossen, Delores,"
"i169258555","[PB] ROMANCE F","Feehan, Christine,"
"i170006451","[PB] ROMANCE J","James, Eloisa,"
"i170006517","[PB] ROMANCE J","Jeffries, Sabrina,"
"i170006529","[PB] ROMANCE M","March, Emily,"
"i170006542","[PB] ROMANCE B","Bell, Lenora,"
"i170719704","[PB] ROMANCE B","Burns, Debbie"
"i170719820","[PB] ROMANCE A","Andrews, Ilona,"
"i170719923","[PB] ROMANCE M","MacLean, Sarah,"
"i170719959","[PB] ROMANCE L","Lorret, Vivienne,"
"i170720020","[PB] ROMANCE W","Waite, Olivia,"
"i170720184","[PB] ROMANCE Y","Yates, Maisey,"
"i171164349","[PB] ROMANCE S","Shalvis, Jill,"
"i171164441","[PB] ROMANCE D","Dare, Tessa,"
"i171164507","[PB] ROMANCE B","Byrne, Kerrigan,"
"i171164544","[PB] ROMANCE S","Sands, Lynsay,"
"i171805124","[PB] ROMANCE L","Long, Julie Anne"
"i171805331","[PB] ROMANCE J","Jackson, Brenda"
"i171805379","[PB] ROMANCE M","Mallery, Susan,"
"i172552382","[PB] ROMANCE B","Burrowes, Grace,"
"i172552400","[PB] ROMANCE K","Krahn, Betina M.,"
"i172552424","[PB] ROMANCE L","London, Julia,"
"i17255245x","[PB] ROMANCE D","Daniels, B.J.,"
"i172552497","[PB] ROMANCE W","Ward, J.R.,"
"i173112730","[PB] ROMANCE F","Frost, Jeaniene,"
"i173112791","[PB] ROMANCE W","Wise, Virginia,"
"i173112821","[PB] ROMANCE D","Drake, Olivia,"
"i173112924","[PB] ROMANCE L","Loren, Roni,"
"i17311295x","[PB] ROMANCE S","Schmidt, Anna,"
"i17314715x","[PB] ROMANCE F","Frampton, Megan,"
"i173597737","[PB] ROMANCE J","Jeffries, Sabrina,"
"i173597749","[PB] ROMANCE W","Weatherspoon, Rebekah,"
"i17359783x","[PB] ROMANCE B","Berne, Lisa,"
"i173597841","[PB] ROMANCE M","Maxwell, Cathy,"
"i173597853","[PB] ROMANCE H","Harrington, Anna"
"i173597889","[PB] ROMANCE M","March, Emily,"
"i174225593","[PB] ROMANCE J","Jarecki, Amy,"
"i174225635","[PB] ROMANCE J","James, Ally,"
"i174225660","[PB] ROMANCE L","London, Julia,"
"i174850311","[PB] ROMANCE S","Shupe, Joanna,"
"i174850347","[PB] ROMANCE B","Bateman, Kate,"
"i174850372","[PB] ROMANCE L","Linden, Caroline,"
"i17485044x","[PB] ROMANCE H","Heath, Lorraine,"
"i174850591","[PB] ROMANCE C","Crane, Megan,"
"i17485061x","[PB] ROMANCE B","Britton, Christina"
"i174850645","[PB] ROMANCE B","Brown, Carolyn,"
"i17485108x","[PB] ROMANCE H","Herrera, Adriana"
"i174851285","[PB] ROMANCE L","Lorret, Vivienne,"
"i174851303","[PB] ROMANCE G","Grey, Amelia,"
"i174851364","[PB] ROMANCE M","Macomber, Debbie,"
"i174851376","[PB] ROMANCE S","Shupe, Joanna,"
"i174851406","[PB] ROMANCE Y","Yates, Maisey,"
"i174851467","[PB] ROMANCE B","Burrowes, Grace,"
"i174851509","[PB] ROMANCE H","Hunter, Madeline,"
"i174851534","[PB] ROMANCE Q","Quinn, Ella,"
"i175043735","[PB] ROMANCE Q","Quinn, Julia,"
"i175043759","[PB] ROMANCE H","Helm, Nicole,"
"i175043772","[PB] ROMANCE S","Sebastian, Cat,"
"i175043899","[PB] ROMANCE G","Greenwood, Leigh,"
"i175043905","[PB] ROMANCE W","Waite, Olivia,"
"i17558347x","[PB] ROMANCE C","Crush, Dylann,"
"i175583493","[PB] ROMANCE G","Grey, Amelia,"
"i175583511","[PB] ROMANCE S","Sala, Sharon,"
"i175583547","[PB] ROMANCE C","Carr, Robyn,"
"i175583559","[PB] ROMANCE B","Balogh, Mary,"
"i175583560","[PB] ROMANCE B","Bennett, Amy Rose,"
"i175583663","[PB] ROMANCE A","Andrews, Ilona,"
"i175586135","[PB] ROMANCE H","Holiday, Jenny"
"i175817431","[PB] ROMANCE M","Mason, Debbie"
"i175817558","[PB] ROMANCE P","Putney, Mary Jo,"
"i175817583","[PB] ROMANCE C","Carr, Robyn,"
"i176080776","[PB] ROMANCE M","Major, Michelle,"
"i17608079x","[PB] ROMANCE L","London, Julia,"
"i17608082x","[PB] ROMANCE B","Bell, Lenora,"
"i176080855","[PB] ROMANCE F","Frampton, Megan,"
"i17608101x","[PB] ROMANCE C","Clare, Jessica."
"i176081045","[PB] ROMANCE D","Day, Alyssa,"
"i176081094","[PB] ROMANCE B","Bennett, Bethany,"
"i176515859","[PB] ROMANCE I","Ivy, Alexandra,"
"i176515860","[PB] ROMANCE B","Broday, Linda,"
"i176515884","[PB] ROMANCE F","Feehan, Christine,"
"i176515914","[PB] ROMANCE B","Burrowes, Grace,"
"i176515987","[PB] ROMANCE L","Lee, Jayci,"
"i176515999","[PB] ROMANCE A","Alexander, Kianna,"
"i176516104","[PB] ROMANCE A","Albert, Annabeth,"
"i17651613x","[PB] ROMANCE H","Hoyt, Elizabeth,"
"i176516190","[PB] ROMANCE C","Cole, Alyssa,"
"i177246881","[PB] ROMANCE B","Bateman, Kate,"
"i177246935","[PB] ROMANCE M","March, Emily,"
"i177246984","[PB] ROMANCE P","Peckham, Scarlett,"
"i177247009","[PB] ROMANCE L","Lee, Jayci,"
"i177247113","[PB] ROMANCE S","Shroff, Mona,"
"i177247137","[PB] ROMANCE S","St. George, Harper,"
"i177247150","[PB] ROMANCE C","Crane, Megan,"
"i177247162","[PB] ROMANCE S","Sasson, Sophia,"
"i177247174","[PB] ROMANCE G","Gonzalez, Nadine"
"i177247228","[PB] ROMANCE S","Sands, Lynsay,"
"i17724723x","[PB] ROMANCE B","Berne, Lisa,"
"i177247241","[PB] ROMANCE C","Clare, Jessica,"
"i177521831","[PB] ROMANCE Q","Quinn, Julia,"
"i177521843","[PB] ROMANCE Q","Quinn, Julia,"
"i177521855","[PB] ROMANCE E","Enoch, Suzanne,"
"i177521909","[PB] ROMANCE H","Howard, Amalie,"
"i177521922","[PB] ROMANCE Q","Quinn, Julia,"
"i17752201x","[PB] ROMANCE K","Kleypas, Lisa,"
"i177522033","[PB] ROMANCE H","Hodges, Cheris F.,"
"i177522045","[PB] ROMANCE K","Krahn, Betina M.,"
"i177522082","[PB] ROMANCE Q","Quinn, Julia,"
"i177522100","[PB] ROMANCE F","Frost, Jeaniene,"
"i177522112","[PB] ROMANCE W","Wells, Mara,"
"i177522136","[PB] ROMANCE W","Wright, Elle,"
"i17752991x","[PB] ROMANCE M","McKenna, Lindsay,"
"i177529933","[PB] ROMANCE G","Griffin, Patience,"
"i178456846","[PB] ROMANCE D","Daniels, B.J.,"
"i178456858","[PB] ROMANCE Q","Quinn, Julia,"
"i178456913","[PB] ROMANCE S","Shupe, Joanna,"
"i178456937","[PB] ROMANCE B","Byrne, Kerrigan,"
"i178456950","[PB] ROMANCE L","Leigh, Eva,"
"i178456986","[PB] ROMANCE Q","Quinn, Julia,"
"i178457000","[PB] ROMANCE T","Thorne, Sally,"
"i178457012","[PB] ROMANCE Q","Quinn, Ella,"
"i178457036","[PB] ROMANCE G","Good, Rachel J.,"
"i178457061","[PB] ROMANCE J","James, Eloisa,"
"i178457085","[PB] ROMANCE C","Carr, Robyn,"
"i178457103","[PB] ROMANCE H","Heath, Lorraine,"
"i178457115","[PB] ROMANCE A","Alers, Rochelle,"
"i178457139","[PB] ROMANCE W","Williams, Synithia,"
"i178457164","[PB] ROMANCE S","Sullivan, Emily,"
"i178457188","[PB] ROMANCE H","Holiday, Jenny"
"i17845719x","[PB] ROMANCE Q","Quinn, Julia,"
"i178457218","[PB] ROMANCE Q","Quinn, Julia,"
"i17895861x","[PB] ROMANCE P","Parish, Samara,"
"i178958621","[PB] ROMANCE J","Jackson, Brenda"
"i178958712","[PB] ROMANCE S","Simone, Naima,"
"i179466136","[PB] ROMANCE Y","Yates, Maisey,"
"i179466264","[PB] ROMANCE B","Bennett, Bethany"
"i179466434","[PB] ROMANCE R","Rains, Annie,"
"i179466458","[PB] ROMANCE M","MacGregor, Janna,"
"i179466604","[PB] ROMANCE B","Bryant, Niobia,"
"i179466665","[PB] ROMANCE N","Night, Nicki,"
"i179466720","[PB] ROMANCE S","Simone, Naima,"
"i179466756","[PB] ROMANCE D","Day, Zuri,"
"i179466859","[PB] ROMANCE H","Herrera, Adriana"
"i179468777","[PB] ROMANCE Q","Quinn, Julia,"
"i179468789","[PB] ROMANCE Q","Quinn, Julia,"
"i17946887x","[PB] ROMANCE Q","Quinn, Julia,"
"i179469010","[PB] ROMANCE W","Waite, Olivia,"
"i179469022","[PB] ROMANCE S","St. George, Harper,"
"i179469071","[PB] ROMANCE L","Linden, Caroline,"
"i179469125","[PB] ROMANCE L","Lorret, Vivienne,"
"i179469149","[PB] ROMANCE M","Mason, Debbie"
"i179469150","[PB] ROMANCE S","Showalter, Gena,"
"i179469204","[PB] ROMANCE Q","Quinn, Julia,"
"i179469277","[PB] ROMANCE Q","Quinn, Julia,"
"i17956464x","[PB] ROMANCE Q","Quincy, D.M."
"i179565011","[PB] ROMANCE J","Jordan, Sophie,"
"i179565096","[PB] ROMANCE L","LaQuette,"
"i179565187","[PB] ROMANCE K","Kelly, Vanessa,"
"i179565205","[PB] ROMANCE D","Drake, Olivia,"
"i179572295","[PB] ROMANCE W","Ward, J.R.,"
"i179819288","[PB] ROMANCE G","Graham, Heather,"
"i179819306","[PB] ROMANCE B","Bryant, Niobia,"
"i179820540","[PB] ROMANCE A","Ashford, Jane,"
"i180485386","[PB] ROMANCE L","Leigh, Lora,"
"i180485416","[PB] ROMANCE B","Bateman, Kate,"
"i180485441","[PB] ROMANCE B","Bell, Lenora,"
"i180485465","[PB] ROMANCE S","Sebastian, Cat,"
"i180485532","[PB] ROMANCE C","Crews, Caitlin,"
"i180485581","[PB] ROMANCE S","Simone, Naima,"
"i180485647","[PB] ROMANCE M","MacLean, Sarah,"
"i180485672","[PB] ROMANCE B","Britton, Christina"
"i180485751","[PB] ROMANCE A","Anders, Adriana,"
"i180485763","[PB] ROMANCE L","LaQuette,"
"i181004057","[PB] ROMANCE H","Heath, Lorraine,"
"i181004069","[PB] ROMANCE M","MacKenzie, Sally,"
"i181004070","[PB] ROMANCE P","Parrish, Roan,"
"i181004082","[PB] ROMANCE H","Howard, Amalie,"
"i181004136","[PB] ROMANCE M","McKenna, Lindsay,"
"i181307273","[PB] ROMANCE S","Shalvis, Jill,"
"i181307285","[PB] ROMANCE W","Weatherspoon, Rebekah,"
"i181307303","[PB] ROMANCE M","McClain, Lee Tobin,"
"i181307364","[PB] ROMANCE P","Putney, Mary Jo,"
"i181307388","[PB] ROMANCE Q","Quinn, Julia,"
"i18130739x","[PB] ROMANCE Y","Yates, Maisey,"
"i181307479","[PB] ROMANCE S","Snyder, Suleikha,"
"i181307534","[PB] ROMANCE R","Ridley, Erica,"
"i181879566","[PB] ROMANCE D","Day, Zuri,"
"i18187961x","[PB] ROMANCE K","King, Lucy,"
"i181879633","[PB] ROMANCE J","Jackson, Brenda"
"i181879657","[PB] ROMANCE R","Ryan, Reese,"
"i181879670","[PB] ROMANCE S","Sullivan, Emily,"
"i181879712","[PB] ROMANCE B","Balogh, Mary,"
"i181879748","[PB] ROMANCE K","Kleypas, Lisa,"
"i181879803","[PB] ROMANCE K","Krentz, Jayne Ann,"
"i181879839","[PB] ROMANCE D","Dunlop, Barbara,"
"i181879840","[PB] ROMANCE G","Griffin, Patience,"
"i181879888","[PB] ROMANCE L","LaQuette,"
"i18187989x","[PB] ROMANCE S","Scott, Bronwyn,"
"i18187992x","[PB] ROMANCE W","Wood, Joss,"
"i181879931","[PB] ROMANCE C","Crespo, Nina,"
"i181879955","[PB] ROMANCE A","Allen, Susanna,"
"i181879979","[PB] ROMANCE B","Beacon, Elizabeth,"
"i181880003","[PB] ROMANCE A","Alers, Rochelle,"
"i181880027","[PB] ROMANCE Q","Quinn, Julia,"
"i181880040","[PB] ROMANCE F","Frampton, Megan,"
"i181880064","[PB] ROMANCE T","Thorne, Sally,"
"i181880076","[PB] ROMANCE B","Bennett, Anna"
"i18188012x","[PB] ROMANCE L","Long, Julie Anne"
"i181880155","[PB] ROMANCE C","Childs, Lisa,"
"i181880167","[PB] ROMANCE D","Daniels, B.J.,"
"i181880179","[PB] ROMANCE R","Reid, Stacy,"
"i181880180","[PB] ROMANCE B","Berne, Lisa,"
"i182394840","[PB] ROMANCE G","Grey, Andrew"
"i182394852","[PB] ROMANCE C","Chin, Jeannie,"
"i182394864","[PB] ROMANCE J","James, Jadesola,"
"i182394888","[PB] ROMANCE L","Liasson, Miranda,"
"i18239489x","[PB] ROMANCE F","Feehan, Christine,"
"i182394906","[PB] ROMANCE L","Lee, Jayci,"
"i182394918","[PB] ROMANCE A","Arthur, A.M.,"
"i18239492x","[PB] ROMANCE S","Sebastian, Cat,"
"i182394943","[PB] ROMANCE P","Parish, Samara,"
"i182394967","[PB] ROMANCE B","Brown, Carolyn,"
"i182395017","[PB] ROMANCE B","Burns, Debbie"
"i183184774","[PB] ROMANCE S","Sosa, Mia,"
"i183184786","[PB] ROMANCE C","Clarke, Marissa,"
"i183184798","[PB] ROMANCE S","St. George, Harper,"
"i183184828","[PB] ROMANCE T","Therin, Allie,"
"i18318483x","[PB] ROMANCE B","Blake, Maya,"
"i183184853","[PB] ROMANCE L","Livesay, Tracey,"
"i183184932","[PB] ROMANCE S","Sharma, Nisha."
"i183184944","[PB] ROMANCE P","Pembrooke, Kate,"
"i183184956","[PB] ROMANCE M","McKenna, Lindsay,"
"i183184968","[PB] ROMANCE K","Krahn, Betina M.,"
"i183184981","[PB] ROMANCE J","Jackson, Brenda"
"i183184993","[PB] ROMANCE C","Crews, Caitlin,"
"i18318502x","[PB] ROMANCE Q","Quincy, D.M."
"i183185031","[PB] ROMANCE J","Jordan, Sophie,"
"i183185043","[PB] ROMANCE L","Leigh, Eva,"
"i183185067","[PB] ROMANCE J","Jackson, Lisa,"
"i183372098","[PB] ROMANCE R","Ryan, Jennifer,"
"i183372104","[PB] ROMANCE J","James, Eloisa,"
"i183372116","[PB] ROMANCE C","Conkle, Gina,"
"i184244675","[PB] ROMANCE M","Milne, Nina,"
"i184244699","[PB] ROMANCE R","Reid, Rachel,"
"i184244705","[PB] ROMANCE A","Ashenden, Jackie,"
"i184244717","[PB] ROMANCE B","Burrowes, Grace,"
"i184244730","[PB] ROMANCE M","MacGregor, Janna,"
"i184244754","[PB] ROMANCE F","Fox, Addison,"
"i184244778","[PB] ROMANCE J","Jeffries, Sabrina,"
"i18424478x","[PB] ROMANCE H","Hodges, Cheris F.,"
"i184244791","[PB] ROMANCE B","Blades, Kilby,"
"i18424481x","[PB] ROMANCE S","Shupe, Joanna,"
"i184856139","[PB] ROMANCE M","Macomber, Debbie,"
"i184856140","[PB] ROMANCE C","Carr, Robyn,"
"i18485619x","[PB] ROMANCE P","Palmer, Diana,"
"i184856218","[PB] ROMANCE B","Blake, Lexi,"
"i184856231","[PB] ROMANCE G","Graham, Heather,"
"i184856255","[PB] ROMANCE M","Michaels, Charis,"
"i184856279","[PB] ROMANCE F","Feehan, Brian,"
"i184856309","[PB] ROMANCE B","Bennett, Amy Rose,"
"i184856334","[PB] ROMANCE L","Long, Julie Anne"
"i184856346","[PB] ROMANCE B","Baird, Ginny,"
"i184856358","[PB] ROMANCE R","Ross, JoAnn,"
"i184856371","[PB] ROMANCE J","Jackson, Lisa,"
"i184856383","[PB] ROMANCE W","Woods, Sherryl,"
"i184856413","[PB] ROMANCE R","Roberts, Nora,"
"i184856449","[PB] ROMANCE W","Woods, Sherryl,"
"i184856450","[PB] ROMANCE R","Reid, Stacy,"
"i184856462","[PB] ROMANCE B","Bateman, Kate,"
"i18485653x","[PB] ROMANCE G","Gracie, Anne,"
"i184856541","[PB] ROMANCE B","Burton, Jaci,"
"i184856577","[PB] ROMANCE F","Frampton, Megan,"
"i184856589","[PB] ROMANCE C","Castle, Jayne,"
"i184856620","[PB] ROMANCE R","Ridley, Erica,"
"i184856644","[PB] ROMANCE M","Macomber, Debbie,"
"i185035656","[PB] ROMANCE C","Carr, Robyn,"
"i185035681","[PB] ROMANCE S","San Andres, Lydia,"
"i185035693","[PB] ROMANCE L","London, Julia,"
"i185035711","[PB] ROMANCE J","Jackson, Brenda"
"i185035735","[PB] ROMANCE S","Showalter, Gena,"
"i185286835","[PB] ROMANCE D","Devon, Eva,"
"i185286902","[PB] ROMANCE R","Ryan, Jennifer,"
"i185287013","[PB] ROMANCE J","Jenkins, Beverly,"
"i185287220","[PB] ROMANCE A","Andrews, Ilona,"
"i18528727x","[PB] ROMANCE W","Woods, Sherryl,"
"i185671196","[PB] ROMANCE S","Showalter, Gena,"
"i185852889","[PB] ROMANCE S","Sullivan, Emily,"
"i185852907","[PB] ROMANCE A","Allen, Susanna,"
"i185852920","[PB] ROMANCE P","Parrish, Roan,"
"i185852944","[PB] ROMANCE B","Bell, Lenora,"
"i185852968","[PB] ROMANCE L","Leigh, Eva,"
